,Starters,Date,MP_x,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP_y,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
11,Kevon Looney,2016-10-25,3:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6,3:41,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,143
12,Anderson Varejao,2016-10-25,3:10,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,3,1,-8,3:10,.568,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,123,142
0,Rudy Gobert,2016-10-25,40:57,4,7,.571,0,0,,4,4,1.000,4,10,14,2,0,2,3,3,12,+7,40:57,.685,.571,.000,.571,13.4,39.1,25.2,6.6,0.0,4.2,25.5,13.8,121,125
1,George Hill,2016-10-25,38:45,7,18,.389,1,6,.167,4,4,1.000,0,2,2,6,2,1,1,2,19,+2,38:45,.481,.417,.333,.222,0.0,8.3,3.8,23.7,2.7,2.2,4.8,25.7,107,124
2,Rodney Hood,2016-10-25,37:39,9,17,.529,3,7,.429,5,5,1.000,0,2,2,1,2,1,0,3,26,+5,37:39,.677,.618,.412,.294,0.0,8.5,3.9,4.5,2.8,2.3,0.0,24.5,139,124
3,Boris Diaw,2016-10-25,32:10,1,8,.125,0,3,.000,0,0,,1,2,3,0,0,0,1,5,2,+1,32:10,.125,.125,.375,.000,4.3,9.9,6.9,0.0,0.0,0.0,11.1,13.4,34,133
4,Joe Johnson,2016-10-25,30:30,12,16,.750,3,4,.750,2,2,1.000,0,4,4,3,1,0,2,0,29,-2,30:30,.859,.844,.250,.125,0.0,21.0,9.7,22.4,1.7,0.0,10.6,29.7,150,127
5,Trey Lyles,2016-10-25,17:55,2,6,.333,1,2,.500,0,0,,0,2,2,2,0,0,3,0,5,-11,17:55,.417,.417,.333,.000,0.0,17.9,8.2,15.5,0.0,0.0,33.3,24.1,64,132
6,Shelvin Mack,2016-10-25,14:48,2,5,.400,0,1,.000,0,0,,0,1,1,4,2,0,0,1,4,-9,14:48,.400,.400,.200,.000,0.0,10.8,5.0,38.7,7.2,0.0,0.0,16.2,112,116
7,Joe Ingles,2016-10-25,14:06,1,1,1.000,0,0,,0,0,,0,0,0,1,1,0,1,2,2,-9,14:06,1.000,1.000,.000,.000,0.0,0.0,0.0,9.3,3.8,0.0,50.0,6.8,102,125
8,Dante Exum,2016-10-25,8:20,2,4,.500,0,1,.000,1,1,1.000,1,1,2,0,0,0,0,2,5,-18,8:20,.563,.500,.250,.250,16.5,19.2,17.7,0.0,0.0,0.0,0.0,25.6,125,132
9,Jeff Withey,2016-10-25,4:51,0,0,,0,0,,0,0,,0,1,1,0,1,1,0,1,0,-11,4:51,,,,,0.0,33.0,15.2,0.0,10.9,17.7,,0.0,,86
10,Raul Neto,2016-10-25,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
11,Derrick Favors,2016-10-25,Did Not Dress,,,,,,,,,,,,,,,,,,,,Did Not Dress,,,,,,,,,,,,,,
12,Joel Bolomboy,2016-10-25,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Damian Lillard,2016-10-25,35:25,13,20,.650,4,6,.667,9,9,1.000,1,8,9,6,0,0,4,3,39,+1,35:25,.814,.750,.300,.450,4.5,31.0,18.8,38.0,0.0,0.0,14.3,39.2,145,116
1,C.J. McCollum,2016-10-25,34:36,8,16,.500,2,2,1.000,7,7,1.000,1,1,2,3,1,0,3,3,25,+12,34:36,.655,.563,.125,.438,4.6,4.0,4.3,14.9,1.5,0.0,13.6,31.7,121,117
2,Al-Farouq Aminu,2016-10-25,28:24,3,6,.500,2,3,.667,1,1,1.000,0,4,4,1,1,0,1,0,9,0,28:24,.699,.667,.500,.167,0.0,19.3,10.4,5.0,1.9,0.0,13.4,13.0,120,114
3,Maurice Harkless,2016-10-25,22:21,0,2,.000,0,1,.000,0,0,,0,1,1,1,2,0,2,1,0,-13,22:21,.000,.000,.500,.000,0.0,6.1,3.3,5.5,4.7,0.0,50.0,8.9,18,110
4,Mason Plumlee,2016-10-25,14:34,1,4,.250,0,0,,0,0,,0,1,1,1,0,0,0,4,2,-7,14:34,.250,.250,.000,.000,0.0,9.4,5.1,9.2,0.0,0.0,0.0,13.6,68,120
5,Allen Crabbe,2016-10-25,29:09,6,10,.600,4,5,.800,2,2,1.000,0,3,3,3,0,0,2,2,18,+14,29:09,.827,.800,.500,.200,0.0,14.1,7.6,17.0,0.0,0.0,15.5,21.9,138,119
6,Evan Turner,2016-10-25,26:01,1,7,.143,0,0,,1,1,1.000,0,5,5,5,1,1,0,1,3,+10,26:01,.202,.143,.000,.143,0.0,26.4,14.2,24.8,2.0,3.2,0.0,14.2,83,109
7,Ed Davis,2016-10-25,24:07,2,3,.667,0,0,,2,2,1.000,3,4,7,1,0,1,0,2,6,+21,24:07,.773,.667,.000,.667,19.9,22.7,21.4,5.7,0.0,3.4,0.0,8.0,185,114
8,Noah Vonleh,2016-10-25,16:06,5,5,1.000,1,1,1.000,0,0,,0,1,1,0,0,1,0,1,11,+14,16:06,1.100,1.100,.200,.000,0.0,8.5,4.6,0.0,0.0,5.1,0.0,15.4,220,115
9,Meyers Leonard,2016-10-25,9:15,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,1,0,-7,9:15,.000,.000,.500,.000,0.0,14.8,8.0,13.3,0.0,0.0,0.0,10.7,36,119
10,Shabazz Napier,2016-10-25,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
11,Jake Layman,2016-10-25,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
12,Pat Connaughton,2016-10-25,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Jeremy Lin,2016-10-26,27:34,6,14,.429,2,5,.400,4,5,.800,1,2,3,3,0,1,2,1,18,-3,27:34,.556,.500,.357,.357,3.5,8.5,5.7,16.0,0.0,3.1,11.0,26.0,114,122
1,Trevor Booker,2016-10-26,24:23,4,5,.800,0,1,.000,0,0,,1,6,7,5,3,0,1,0,8,+5,24:23,.800,.800,.200,.000,3.9,28.8,15.1,28.0,5.7,0.0,16.7,9.7,154,107
2,Rondae Hollis-Jefferson,2016-10-26,23:35,1,3,.333,0,1,.000,3,4,.750,0,2,2,0,1,0,1,1,5,-9,23:35,.525,.333,.333,1.333,0.0,9.9,4.5,0.0,2.0,0.0,17.4,9.6,95,119
3,Bojan Bogdanovic,2016-10-26,23:04,9,17,.529,3,8,.375,0,0,,2,3,5,0,1,0,2,2,21,+2,23:04,.618,.618,.471,.000,8.3,15.2,11.4,0.0,2.0,0.0,10.5,32.5,112,118
4,Brook Lopez,2016-10-26,21:12,1,7,.143,1,2,.500,4,4,1.000,2,3,5,0,0,0,2,1,7,-10,21:12,.400,.214,.286,.571,9.1,16.6,12.4,0.0,0.0,0.0,18.6,20.0,84,122
5,Justin Hamilton,2016-10-26,25:20,7,12,.583,3,6,.500,2,3,.667,6,4,10,2,0,0,1,4,19,0,25:20,.713,.708,.500,.250,22.7,18.5,20.8,12.7,0.0,0.0,7.0,22.3,150,122
6,Joe Harris,2016-10-26,25:15,6,15,.400,4,9,.444,0,0,,0,4,4,3,2,2,3,3,16,+3,25:15,.533,.533,.600,.000,0.0,18.5,8.4,18.1,3.7,6.7,16.7,28.1,99,109
7,Sean Kilpatrick,2016-10-26,22:14,5,13,.385,1,6,.167,2,2,1.000,1,3,4,2,0,0,2,0,13,-7,22:14,.468,.423,.462,.154,4.3,15.8,9.5,13.4,0.0,0.0,12.6,28.1,97,122
8,Luis Scola,2016-10-26,21:38,3,8,.375,1,5,.200,1,2,.500,0,1,1,3,0,0,2,3,8,-19,21:38,.450,.438,.625,.250,0.0,5.4,2.4,18.3,0.0,0.0,18.4,19.8,90,125
9,Greivis Vasquez,2016-10-26,18:14,0,1,.000,0,1,.000,0,0,,0,0,0,3,1,0,0,3,0,-13,18:14,.000,.000,1.000,.000,0.0,0.0,0.0,18.4,2.6,0.0,0.0,2.2,122,120
10,Isaiah Whitehead,2016-10-26,3:52,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,+12,3:52,,,,,0.0,30.3,13.6,28.9,0.0,0.0,,0.0,235,119
11,Chris McCullough,2016-10-26,3:39,1,2,.500,0,0,,0,0,,2,0,2,0,0,0,0,0,2,+14,3:39,.500,.500,.000,.000,52.6,0.0,28.9,0.0,0.0,0.0,0.0,21.6,139,126
12,Anthony Bennett,2016-10-26,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Avery Bradley,2016-10-26,34:03,7,15,.467,3,4,.750,0,0,,4,5,9,5,1,0,3,4,17,+3,34:03,.567,.567,.267,.000,13.8,14.1,13.9,18.5,1.4,0.0,16.7,21.9,113,118
1,Isaiah Thomas,2016-10-26,32:49,7,14,.500,2,7,.286,9,9,1.000,0,6,6,9,2,0,3,3,25,+15,32:49,.696,.571,.500,.643,0.0,17.6,9.6,34.9,2.8,0.0,14.3,26.4,138,113
2,Jae Crowder,2016-10-26,29:11,9,15,.600,3,8,.375,0,0,,0,5,5,2,2,1,2,2,21,+3,29:11,.700,.700,.533,.000,0.0,16.4,9.0,9.9,3.2,3.1,11.8,24.1,118,111
3,Al Horford,2016-10-26,27:09,5,8,.625,1,4,.250,0,0,,1,4,5,6,0,4,2,2,11,+13,27:09,.688,.688,.500,.000,4.3,14.1,9.7,27.1,0.0,13.3,20.0,15.3,127,114
4,Amir Johnson,2016-10-26,19:30,4,6,.667,0,0,,0,1,.000,4,3,7,2,1,0,4,2,8,+5,19:30,.621,.667,.000,.167,24.0,14.8,18.9,12.9,2.4,0.0,38.3,22.2,93,115
5,Terry Rozier,2016-10-26,27:51,2,5,.400,1,2,.500,0,0,,0,3,3,3,2,0,1,2,5,+2,27:51,.500,.500,.400,.000,0.0,10.3,5.7,11.6,3.3,0.0,16.7,8.9,104,115
6,Jaylen Brown,2016-10-26,19:27,3,4,.750,0,0,,3,4,.750,0,2,2,1,1,2,1,1,9,0,19:27,.781,.750,.000,1.000,0.0,9.9,5.4,6.1,2.4,9.3,14.8,14.4,135,113
7,Jonas Jerebko,2016-10-26,18:49,1,8,.125,0,5,.000,2,2,1.000,0,1,1,3,4,0,1,1,4,+2,18:49,.225,.125,.625,.250,0.0,5.1,2.8,16.8,9.9,0.0,10.1,21.7,68,102
8,Tyler Zeller,2016-10-26,16:26,6,7,.857,0,0,,1,2,.500,2,2,4,3,0,2,1,2,13,-9,16:26,.825,.857,.000,.286,14.2,11.7,12.8,28.8,0.0,11.0,11.3,22.4,152,116
9,Gerald Green,2016-10-26,14:45,4,7,.571,1,2,.500,0,0,,1,4,5,2,0,0,1,1,9,-9,14:45,.643,.643,.286,.000,7.9,26.0,17.9,18.6,0.0,0.0,12.5,22.5,121,117
10,James Young,2016-10-26,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
11,Jordan Mickey,2016-10-26,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
12,Demetrius Jackson,2016-10-26,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Deron Williams,2016-10-26,40:00,10,18,.556,5,8,.625,0,0,,1,2,3,7,0,1,6,4,25,-9,40:00,.694,.694,.444,.000,2.5,5.6,3.9,29.2,0.0,1.8,25.0,25.1,108,119
