,Starters,Date,MP_x,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP_y,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
9,Kay Felder,2016-11-11,7:32,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,0,1,2,-2,7:32,.500,.500,.000,.000,0.0,29.0,13.7,0.0,0.0,0.0,0.0,11.3,106,98
10,Jordan McRae,2016-11-11,0:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0:50,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,106
11,James Jones,2016-11-11,0:50,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,0,0:50,.000,.000,1.000,.000,0.0,100.0,61.9,0.0,0.0,0.0,0.0,51.2,0,72
12,Chris Andersen,2016-11-11,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,John Wall,2016-11-11,35:04,12,24,.500,1,3,.333,3,5,.600,1,1,2,3,2,1,6,3,28,-18,35:04,.534,.521,.125,.208,3.1,2.8,2.9,19.0,2.8,2.6,18.6,39.9,91,109
1,Otto Porter,2016-11-11,33:36,5,11,.455,1,3,.333,0,0,,3,5,8,5,0,1,2,3,11,-11,33:36,.500,.500,.273,.000,9.7,14.6,12.3,23.1,0.0,2.7,15.4,16.8,105,111
2,Markieff Morris,2016-11-11,33:10,6,14,.429,1,3,.333,7,7,1.000,1,4,5,1,1,1,1,2,20,-10,33:10,.585,.464,.214,.500,3.3,11.8,7.8,4.9,1.5,2.7,5.5,23.7,121,108
3,Marcin Gortat,2016-11-11,25:42,2,5,.400,0,0,,0,2,.000,4,11,15,1,1,0,2,3,4,-15,25:42,.340,.400,.000,.400,17.0,41.9,30.1,5.5,1.9,0.0,25.4,13.3,77,97
4,Marcus Thornton,2016-11-11,20:43,0,5,.000,0,2,.000,2,2,1.000,0,1,1,1,1,0,1,1,2,-13,20:43,.170,.000,.400,.400,0.0,4.7,2.5,6.1,2.4,0.0,14.5,14.4,41,111
5,Trey Burke,2016-11-11,22:06,4,7,.571,0,0,,1,1,1.000,0,2,2,3,0,0,0,0,9,+3,22:06,.605,.571,.000,.143,0.0,8.9,4.7,22.2,0.0,0.0,0.0,14.6,135,115
6,Kelly Oubre,2016-11-11,21:16,5,8,.625,0,1,.000,0,0,,0,6,6,0,1,1,1,4,10,+1,21:16,.625,.625,.125,.000,0.0,27.6,14.6,0.0,2.3,4.3,11.1,18.4,109,99
7,Tomas Satoransky,2016-11-11,20:08,3,7,.429,0,0,,2,2,1.000,1,1,2,2,1,0,1,0,8,0,20:08,.508,.429,.000,.286,5.4,4.9,5.1,15.5,2.4,0.0,11.3,19.2,106,111
8,Jason Smith,2016-11-11,14:35,0,1,.000,0,0,,0,0,,0,3,3,0,0,1,1,5,0,+10,14:35,.000,.000,.000,.000,0.0,20.2,10.6,0.0,0.0,6.2,50.0,6.0,0,105
9,Sheldon McClellan,2016-11-11,12:00,1,5,.200,0,3,.000,0,0,,0,1,1,0,0,0,0,0,2,-2,12:00,.200,.200,.600,.000,0.0,8.2,4.3,0.0,0.0,0.0,0.0,18.1,45,115
10,Danuel House,2016-11-11,0:50,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0,0:50,,,,,0.0,100.0,61.9,0.0,0.0,0.0,,0.0,,73
11,Daniel Ochefu,2016-11-11,0:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0:50,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,118
12,Andrew Nicholson,2016-11-11,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Dario Saric,2016-11-12,27:39,5,13,.385,2,4,.500,0,0,,1,6,7,1,1,0,3,0,12,-11,27:39,.462,.462,.308,.000,3.7,23.7,13.4,6.4,1.7,0.0,18.8,25.1,78,118
1,Robert Covington,2016-11-12,26:03,3,8,.375,3,7,.429,2,2,1.000,0,3,3,0,4,1,3,3,11,-10,26:03,.619,.563,.875,.250,0.0,12.6,6.1,0.0,7.4,2.9,25.3,19.8,88,107
2,Sergio Rodriguez,2016-11-12,25:13,5,9,.556,3,4,.750,0,0,,0,3,3,4,1,1,0,1,13,-14,25:13,.722,.722,.444,.000,0.0,13.0,6.3,28.8,1.9,3.0,0.0,15.5,153,119
3,Jahlil Okafor,2016-11-12,23:38,7,13,.538,0,0,,4,8,.500,3,3,6,2,0,1,2,4,18,0,23:38,.545,.538,.000,.615,13.0,13.8,13.4,18.6,0.0,3.2,10.8,33.9,106,122
4,Gerald Henderson,2016-11-12,20:34,3,6,.500,0,1,.000,0,2,.000,1,2,3,2,1,0,0,1,6,-5,20:34,.436,.500,.167,.333,5.0,10.6,7.7,16.1,2.3,0.0,0.0,14.5,104,121
5,Ersan Ilyasova,2016-11-12,24:19,4,12,.333,1,5,.200,0,0,,0,5,5,2,1,1,4,3,9,-16,24:19,.375,.375,.417,.000,0.0,22.4,10.8,14.0,2.0,3.1,25.0,28.5,61,115
6,Nik Stauskas,2016-11-12,24:07,4,6,.667,2,4,.500,2,2,1.000,2,2,4,1,3,0,4,2,12,-13,24:07,.872,.833,.667,.333,8.5,9.0,8.7,7.1,6.0,0.0,36.8,19.5,106,113
7,T.J. McConnell,2016-11-12,22:47,1,2,.500,0,0,,0,0,,0,0,0,6,1,0,1,2,2,-7,22:47,.500,.500,.000,.000,0.0,0.0,0.0,37.3,2.1,0.0,33.3,5.7,123,124
8,Hollis Thompson,2016-11-12,22:00,1,5,.200,0,3,.000,2,2,1.000,1,2,3,1,1,0,2,3,4,-12,22:00,.340,.200,.600,.400,4.6,9.9,7.2,6.5,2.2,0.0,25.4,15.5,66,121
9,Richaun Holmes,2016-11-12,20:24,2,8,.250,0,1,.000,3,4,.750,2,3,5,2,1,0,0,1,7,-15,20:24,.359,.250,.125,.500,10.0,16.0,12.9,15.0,2.4,0.0,0.0,20.7,97,119
10,Timothe Luwawu-Cabarrot,2016-11-12,3:16,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-2,3:16,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,200,130
11,Joel Embiid,2016-11-12,Did Not Dress,,,,,,,,,,,,,,,,,,,,Did Not Dress,,,,,,,,,,,,,,
0,Kent Bazemore,2016-11-12,28:24,8,13,.615,1,3,.333,0,0,,1,4,5,1,3,2,3,0,17,+5,28:24,.654,.654,.231,.000,3.8,14.4,9.3,4.9,5.1,6.3,18.8,23.1,106,88
1,Kyle Korver,2016-11-12,28:19,5,11,.455,3,8,.375,1,1,1.000,0,2,2,2,2,2,3,2,14,+4,28:19,.612,.591,.727,.091,0.0,7.2,3.7,8.6,3.4,6.3,20.8,20.9,102,93
2,Dwight Howard,2016-11-12,28:08,5,7,.714,0,0,,0,1,.000,5,6,11,2,1,0,0,4,10,+6,28:08,.672,.714,.000,.143,19.4,21.8,20.6,8.6,1.7,0.0,0.0,10.8,159,96
3,Dennis Schroder,2016-11-12,27:49,7,10,.700,2,2,1.000,0,3,.000,0,5,5,8,1,1,5,0,16,+9,27:49,.707,.800,.200,.300,0.0,18.4,9.5,38.4,1.7,3.2,30.6,24.0,107,96
4,Paul Millsap,2016-11-12,26:59,3,10,.300,0,2,.000,0,0,,0,4,4,3,0,0,2,1,6,+13,26:59,.300,.300,.200,.000,0.0,15.1,7.8,12.5,0.0,0.0,16.7,18.2,71,103
5,Mike Muscala,2016-11-12,19:08,1,4,.250,0,1,.000,1,2,.500,2,4,6,4,1,0,0,2,3,+7,19:08,.307,.250,.250,.500,11.4,21.4,16.5,22.1,2.5,0.0,0.0,10.4,123,95
6,Kris Humphries,2016-11-12,18:29,5,7,.714,1,2,.500,2,2,1.000,4,5,9,2,0,1,0,3,13,+14,18:29,.825,.786,.286,.286,23.6,27.6,25.7,14.8,0.0,4.8,0.0,17.5,184,95
7,Tim Hardaway,2016-11-12,18:15,7,13,.538,5,10,.500,1,2,.500,0,3,3,1,0,0,1,0,20,+16,18:15,.720,.731,.769,.154,0.0,16.8,8.7,8.9,0.0,0.0,6.7,33.4,131,103
8,Thabo Sefolosha,2016-11-12,17:46,3,7,.429,1,3,.333,0,0,,0,2,2,1,2,0,1,1,7,+15,17:46,.500,.500,.429,.000,0.0,11.5,5.9,6.8,5.4,0.0,12.5,18.4,97,92
9,Malcolm Delaney,2016-11-12,16:55,3,8,.375,0,1,.000,3,3,1.000,2,1,3,6,0,0,1,0,9,+10,16:55,.483,.375,.125,.375,12.9,6.0,9.4,43.1,0.0,0.0,9.7,25.0,128,106
10,Taurean Waller-Prince,2016-11-12,3:16,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,1,2,+2,3:16,.500,.500,.000,.000,0.0,31.3,16.1,0.0,0.0,0.0,0.0,25.1,106,96
11,Ryan Kelly,2016-11-12,3:16,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+2,3:16,.000,.000,.000,.000,0.0,0.0,0.0,30.6,0.0,0.0,0.0,12.5,67,107
12,DeAndre' Bembry,2016-11-12,3:16,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,+2,3:16,.000,.000,.000,.000,33.4,0.0,16.1,0.0,0.0,0.0,0.0,25.1,40,107
0,Markieff Morris,2016-11-12,43:56,9,19,.474,0,1,.000,6,6,1.000,4,11,15,2,0,3,3,1,24,-1,43:56,.555,.474,.053,.316,8.7,23.6,16.2,7.8,0.0,4.0,12.2,24.3,110,105
1,Sheldon McClellan,2016-11-12,35:22,5,9,.556,1,1,1.000,4,5,.800,1,1,2,1,0,0,0,2,15,0,35:22,.670,.611,.111,.556,2.7,2.7,2.7,4.3,0.0,0.0,0.0,13.7,145,117
2,Marcin Gortat,2016-11-12,34:38,9,12,.750,0,0,,0,0,,3,11,14,2,0,1,2,4,18,+1,34:38,.750,.750,.000,.000,8.3,29.9,19.2,10.9,0.0,1.7,14.3,17.5,131,104
3,Tomas Satoransky,2016-11-12,31:02,4,12,.333,1,2,.500,3,3,1.000,0,4,4,9,1,0,2,3,12,+13,31:02,.450,.375,.167,.250,0.0,12.1,6.1,43.8,1.6,0.0,13.1,21.4,102,110
4,Otto Porter,2016-11-12,28:35,3,12,.250,1,3,.333,1,3,.333,1,3,4,1,0,2,2,5,8,+2,28:35,.300,.292,.250,.250,3.4,9.9,6.7,5.1,0.0,4.1,13.1,23.2,62,111
5,Marcus Thornton,2016-11-12,22:53,4,14,.286,0,4,.000,1,1,1.000,2,2,4,1,1,0,0,0,9,-18,22:53,.312,.286,.286,.071,8.4,8.2,8.3,7.1,2.2,0.0,0.0,27.3,79,110
6,Jason Smith,2016-11-12,17:26,0,4,.000,0,0,,0,0,,2,3,5,0,0,1,2,4,0,-22,17:26,.000,.000,.000,.000,11.0,16.2,13.6,0.0,0.0,3.4,33.3,14.9,21,109
7,Trey Burke,2016-11-12,16:58,3,7,.429,0,0,,0,0,,0,0,0,3,1,0,1,0,6,-24,16:58,.429,.429,.000,.000,0.0,0.0,0.0,28.8,2.9,0.0,12.5,20.4,90,112
8,Kelly Oubre,2016-11-12,9:10,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,3,3,-6,9:10,.750,.750,1.000,.000,0.0,10.3,5.2,0.0,0.0,0.0,0.0,9.4,150,114
9,Andrew Nicholson,2016-11-12,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
10,Danuel House,2016-11-12,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
11,Daniel Ochefu,2016-11-12,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
12,Bradley Beal,2016-11-12,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Jimmy Butler,2016-11-12,38:19,11,23,.478,1,3,.333,14,14,1.000,2,6,8,9,3,0,2,2,37,+16,38:19,.634,.500,.130,.609,4.9,15.0,9.9,44.7,3.9,0.0,6.4,33.1,138,94
1,Robin Lopez,2016-11-12,38:00,5,16,.313,0,0,,0,0,,6,7,13,1,0,2,2,3,10,+4,38:00,.313,.313,.000,.000,14.9,17.7,16.3,3.9,0.0,3.2,11.1,19.3,79,99
2,Dwyane Wade,2016-11-12,29:49,5,17,.294,0,2,.000,4,4,1.000,2,0,2,2,1,1,2,2,14,+1,29:49,.373,.294,.118,.235,6.3,0.0,3.2,10.4,1.7,2.1,9.6,28.3,84,103
3,Taj Gibson,2016-11-12,28:31,6,10,.600,0,0,,1,3,.333,2,3,5,1,1,1,1,2,13,+6,28:31,.574,.600,.000,.300,6.6,10.1,8.3,5.8,1.7,2.2,8.1,17.6,113,99
4,Rajon Rondo,2016-11-12,25:15,0,6,.000,0,0,,0,0,,1,6,7,5,0,0,2,5,0,-1,25:15,.000,.000,.000,.000,3.7,22.8,13.2,24.4,0.0,0.0,25.0,12.9,38,100
5,Isaiah Canaan,2016-11-12,26:51,3,7,.429,1,5,.200,1,1,1.000,0,2,2,0,0,0,0,2,8,+6,26:51,.538,.500,.714,.143,0.0,7.2,3.5,0.0,0.0,0.0,0.0,11.3,117,106
6,Nikola Mirotic,2016-11-12,23:24,6,7,.857,3,4,.750,2,2,1.000,1,10,11,1,2,2,0,3,17,+16,23:24,1.079,1.071,.571,.286,4.0,41.0,22.3,7.7,4.2,5.3,0.0,13.7,216,80
7,Doug McDermott,2016-11-12,17:40,2,6,.333,0,1,.000,1,1,1.000,0,1,1,2,0,0,1,0,5,+11,17:40,.388,.333,.167,.167,0.0,5.4,2.7,16.2,0.0,0.0,13.4,17.1,83,106
8,Jerian Grant,2016-11-12,6:06,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,0,6:06,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,108
9,Bobby Portis,2016-11-12,6:05,1,4,.250,0,0,,0,0,,1,2,3,0,0,0,0,0,2,-4,6:05,.250,.250,.000,.000,15.5,31.6,23.4,0.0,0.0,0.0,0.0,26.7,71,97
10,Denzel Valentine,2016-11-12,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
11,Paul Zipser,2016-11-12,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
12,Cristiano Felicio,2016-11-12,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Tobias Harris,2016-11-12,36:16,8,15,.533,1,2,.500,2,2,1.000,1,3,4,3,2,1,2,1,19,+17,36:16,.598,.567,.133,.133,3.4,9.9,6.7,11.2,2.9,2.2,11.2,22.5,117,106
1,Kentavious Caldwell-Pope,2016-11-12,35:15,4,11,.364,1,5,.200,5,6,.833,0,1,1,2,2,0,1,2,14,+22,35:15,.513,.409,.455,.545,0.0,3.4,1.7,6.7,3.0,0.0,6.8,19.0,110,110
2,Marcus Morris,2016-11-12,34:16,8,15,.533,1,6,.167,0,0,,0,1,1,3,2,0,0,1,17,+6,34:16,.567,.567,.400,.000,0.0,3.5,1.8,12.1,3.1,0.0,0.0,20.0,125,110
3,Ish Smith,2016-11-12,29:24,5,12,.417,0,0,,0,0,,1,2,3,8,2,0,4,4,10,+10,29:24,.417,.417,.000,.000,4.2,8.2,6.2,34.5,3.6,0.0,25.0,24.8,87,106
4,Andre Drummond,2016-11-12,26:41,7,11,.636,0,0,,0,2,.000,5,7,12,0,2,0,0,4,14,+6,26:41,.589,.636,.000,.182,23.1,31.5,27.3,0.0,4.0,0.0,0.0,20.3,133,95
5,Jon Leuer,2016-11-12,26:23,7,12,.583,0,1,.000,0,0,,3,7,10,0,1,0,0,2,14,+2,26:23,.583,.583,.083,.000,14.0,31.8,23.0,0.0,2.0,0.0,0.0,20.8,130,100
6,Aron Baynes,2016-11-12,20:24,1,2,.500,0,0,,2,2,1.000,0,2,2,1,0,0,1,1,4,+2,20:24,.694,.500,.000,1.000,0.0,11.8,6.0,5.4,0.0,0.0,25.8,8.7,114,113
7,Beno Udrih,2016-11-12,17:31,4,7,.571,1,3,.333,0,0,,0,0,0,5,0,0,0,0,9,0,17:31,.643,.643,.429,.000,0.0,0.0,0.0,39.1,0.0,0.0,0.0,18.2,150,118
8,Stanley Johnson,2016-11-12,13:50,2,5,.400,0,1,.000,1,2,.500,1,3,4,1,0,0,1,1,5,-10,13:50,.425,.400,.200,.400,8.9,26.0,17.6,8.9,0.0,0.0,14.5,22.7,90,107
9,Darrun Hilliard,2016-11-12,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
10,Reggie Bullock,2016-11-12,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
11,Boban Marjanovic,2016-11-12,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Danilo Gallinari,2016-11-12,35:43,5,10,.500,2,4,.500,6,8,.750,0,4,4,1,0,0,1,1,18,-15,35:43,.666,.600,.400,.800,0.0,13.8,6.8,4.6,0.0,0.0,6.9,18.2,138,122
1,Gary Harris,2016-11-12,28:05,5,11,.455,0,2,.000,3,3,1.000,0,4,4,4,0,0,1,2,13,+1,28:05,.528,.455,.182,.273,0.0,17.5,8.7,24.9,0.0,0.0,7.5,21.2,121,121
2,Emmanuel Mudiay,2016-11-12,26:26,6,14,.429,4,8,.500,3,4,.750,2,3,5,2,2,2,5,2,19,-11,26:26,.603,.571,.571,.286,9.1,14.0,11.5,14.5,4.0,5.0,24.1,35.1,103,109
3,Kenneth Faried,2016-11-12,20:58,4,9,.444,0,1,.000,0,2,.000,5,3,8,1,0,2,1,1,8,-14,20:58,.405,.444,.111,.222,28.6,17.6,23.2,8.5,0.0,6.4,9.2,23.2,100,115
4,Jusuf Nurkic,2016-11-12,16:51,0,2,.000,0,0,,0,0,,2,0,2,0,1,0,2,0,0,+3,16:51,.000,.000,.000,.000,14.2,0.0,7.2,0.0,3.2,0.0,50.0,10.6,27,119
5,Wilson Chandler,2016-11-12,29:59,3,12,.250,0,3,.000,0,0,,2,8,10,2,1,0,2,1,6,-9,29:59,.250,.250,.250,.000,8.0,32.8,20.3,10.3,1.8,0.0,14.3,20.9,66,113
6,Jameer Nelson,2016-11-12,21:34,5,8,.625,1,2,.500,0,0,,0,1,1,2,0,0,2,4,11,0,21:34,.688,.688,.250,.000,0.0,5.7,2.8,17.9,0.0,0.0,20.0,20.7,117,123
7,Nikola Jokic,2016-11-12,20:27,2,7,.286,0,0,,2,2,1.000,2,1,3,1,1,0,1,1,6,-6,20:27,.381,.286,.000,.286,11.7,6.0,8.9,7.5,2.6,0.0,11.3,19.4,94,118
8,Juan Hernangomez,2016-11-12,20:02,3,5,.600,1,2,.500,0,0,,1,3,4,2,0,0,0,1,7,+8,20:02,.700,.700,.400,.000,6.0,18.4,12.1,16.6,0.0,0.0,0.0,11.2,164,120
9,Jamal Murray,2016-11-12,19:55,3,6,.500,1,3,.333,0,0,,0,1,1,0,1,0,0,1,7,-12,19:55,.583,.583,.500,.000,0.0,6.2,3.1,0.0,2.7,0.0,0.0,13.5,130,118
10,Mike Miller,2016-11-12,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
11,Darrell Arthur,2016-11-12,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
12,Malik Beasley,2016-11-12,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Kawhi Leonard,2016-11-12,37:38,9,16,.563,0,5,.000,2,2,1.000,0,2,2,0,3,0,2,3,20,+1,37:38,.592,.563,.313,.125,0.0,5.2,3.1,0.0,4.1,0.0,10.6,24.9,100,108
1,LaMarcus Aldridge,2016-11-12,35:14,5,13,.385,0,1,.000,6,6,1.000,0,10,10,2,0,3,4,4,16,-10,35:14,.512,.385,.077,.462,0.0,27.8,16.8,8.0,0.0,9.7,20.4,27.7,85,102
2,Pau Gasol,2016-11-12,32:28,5,10,.500,0,1,.000,5,8,.625,1,6,7,6,0,2,1,3,15,+8,32:28,.555,.500,.100,.800,4.6,18.1,12.8,26.4,0.0,7.0,6.9,22.2,119,108
3,Danny Green,2016-11-12,27:15,2,4,.500,1,2,.500,0,0,,0,0,0,2,0,2,1,2,5,-6,27:15,.625,.625,.500,.000,0.0,0.0,0.0,9.4,0.0,8.4,20.0,9.1,105,118
4,Tony Parker,2016-11-12,26:41,6,9,.667,0,0,,4,5,.800,0,1,1,3,1,0,1,0,16,-3,26:41,.714,.667,.000,.556,0.0,3.7,2.2,17.9,1.9,0.0,8.2,22.7,135,115
5,Patrick Mills,2016-11-12,21:19,3,8,.375,2,6,.333,0,0,,0,4,4,4,0,0,1,1,8,+9,21:19,.500,.500,.750,.000,0.0,18.4,11.1,26.3,0.0,0.0,11.1,21.0,100,111
6,David Lee,2016-11-12,20:44,2,3,.667,0,0,,2,3,.667,0,6,6,0,0,2,0,3,6,+14,20:44,.694,.667,.000,1.000,0.0,28.3,17.1,0.0,0.0,11.0,0.0,10.4,139,101
7,Jonathon Simmons,2016-11-12,15:51,3,4,.750,0,1,.000,0,0,,0,2,2,1,0,1,0,1,6,+12,15:51,.750,.750,.250,.000,0.0,12.4,7.5,9.5,0.0,7.2,0.0,12.5,148,112
8,Manu Ginobili,2016-11-12,15:31,5,7,.714,2,2,1.000,0,0,,0,2,2,3,0,0,0,2,12,+5,15:31,.857,.857,.286,.000,0.0,12.6,7.6,36.3,0.0,0.0,0.0,22.4,168,114
9,Dewayne Dedmon,2016-11-12,7:18,1,2,.500,0,0,,0,0,,1,0,1,0,2,1,0,0,2,0,7:18,.500,.500,.000,.000,20.5,0.0,8.1,0.0,14.2,15.7,0.0,13.6,120,81
10,Bryn Forbes,2016-11-12,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
11,Kyle Anderson,2016-11-12,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
12,Davis Bertans,2016-11-12,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,James Harden,2016-11-12,38:56,7,18,.389,2,9,.222,9,11,.818,5,6,11,13,0,0,7,1,25,+1,38:56,.547,.444,.500,.611,12.6,23.1,16.7,63.2,0.0,0.0,23.5,32.8,112,119
1,Ryan Anderson,2016-11-12,37:26,1,13,.077,1,7,.143,3,4,.750,4,4,8,1,0,0,2,5,6,+5,37:26,.203,.115,.538,.308,10.5,16.0,12.7,3.9,0.0,0.0,11.9,19.1,60,119
2,Trevor Ariza,2016-11-12,37:02,5,13,.385,4,11,.364,1,2,.500,1,3,4,2,3,0,1,0,15,+1,37:02,.540,.538,.846,.154,2.6,12.2,6.4,9.4,4.2,0.0,6.7,17.2,114,110
3,Clint Capela,2016-11-12,24:45,5,9,.556,0,0,,2,2,1.000,4,6,10,2,0,1,1,4,12,+3,24:45,.607,.556,.000,.222,15.8,36.4,23.9,16.0,0.0,3.3,9.2,18.8,132,114
4,Corey Brewer,2016-11-12,16:04,0,3,.000,0,3,.000,0,0,,0,0,0,1,1,1,0,3,0,-9,16:04,.000,.000,1.000,.000,0.0,0.0,0.0,8.8,3.2,5.2,0.0,8.0,25,106
5,Eric Gordon,2016-11-12,31:58,10,16,.625,7,12,.583,0,0,,0,5,5,2,1,1,2,2,27,+1,31:58,.844,.844,.750,.000,0.0,23.5,9.3,15.8,1.6,2.6,11.1,24.1,141,112
6,Nene Hilario,2016-11-12,23:15,1,5,.200,0,0,,2,2,1.000,1,3,4,0,0,1,0,1,4,-9,23:15,.340,.200,.000,.400,4.2,19.4,10.2,0.0,0.0,3.6,0.0,10.8,92,115
7,Sam Dekker,2016-11-12,11:28,2,3,.667,1,2,.500,0,0,,0,1,1,0,0,0,0,2,5,-11,11:28,.833,.833,.667,.000,0.0,13.1,5.2,0.0,0.0,0.0,0.0,11.2,162,119
8,K.J. McDaniels,2016-11-12,10:01,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,1,0,-5,10:01,.000,.000,.667,.000,0.0,15.0,5.9,0.0,0.0,0.0,0.0,12.8,0,119
9,Tyler Ennis,2016-11-12,9:04,3,6,.500,0,1,.000,0,0,,1,1,2,1,1,0,1,0,6,-7,9:04,.500,.500,.167,.000,10.8,16.5,13.1,29.2,5.7,0.0,14.3,33.0,96,107
10,Kyle Wiltjer,2016-11-12,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
11,Montrezl Harrell,2016-11-12,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
12,Bobby Brown,2016-11-12,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Avery Bradley,2016-11-12,36:17,5,11,.455,1,4,.250,2,2,1.000,1,7,8,5,2,1,4,3,13,0,36:17,.547,.500,.364,.182,3.0,21.5,12.2,23.3,2.8,2.2,25.2,19.5,98,101
1,Marcus Smart,2016-11-12,33:32,4,11,.364,0,2,.000,1,2,.500,1,1,2,2,1,0,0,4,9,+5,33:32,.379,.364,.182,.182,3.3,3.3,3.3,9.8,1.5,0.0,0.0,15.8,98,111
2,Amir Johnson,2016-11-12,31:01,4,8,.500,0,1,.000,6,6,1.000,5,4,9,3,0,1,3,4,14,-1,31:01,.658,.500,.125,.750,17.6,14.4,16.0,16.1,0.0,2.6,22.0,19.6,126,109
3,Isaiah Thomas,2016-11-12,29:26,4,13,.308,1,2,.500,14,15,.933,0,0,0,5,1,0,2,4,23,-7,29:26,.587,.346,.154,1.154,0.0,0.0,0.0,28.6,1.8,0.0,9.3,32.8,129,112
4,Kelly Olynyk,2016-11-12,27:54,6,13,.462,2,6,.333,2,4,.500,2,4,6,4,0,1,3,5,16,-6,27:54,.542,.538,.462,.308,7.8,16.0,11.9,27.9,0.0,2.9,16.9,28.4,105,108
5,Terry Rozier,2016-11-12,21:49,4,7,.571,2,4,.500,1,2,.500,0,6,6,1,1,1,0,0,11,+14,21:49,.698,.714,.571,.286,0.0,30.7,15.2,8.4,2.4,3.7,0.0,16.1,146,99
6,Jonas Jerebko,2016-11-12,20:59,0,4,.000,0,2,.000,0,0,,0,5,5,0,0,2,1,1,0,+12,20:59,.000,.000,.500,.000,0.0,26.6,13.1,0.0,0.0,7.8,20.0,10.6,0,102
7,James Young,2016-11-12,16:22,5,6,.833,2,3,.667,0,0,,2,1,3,1,2,0,0,0,12,+7,16:22,1.000,1.000,.500,.000,13.3,6.8,10.1,14.4,6.3,0.0,0.0,16.4,198,101
8,Tyler Zeller,2016-11-12,15:46,3,6,.500,0,0,,1,2,.500,4,2,6,0,0,1,0,0,7,+7,15:46,.509,.500,.000,.333,27.7,14.2,21.0,0.0,0.0,5.2,0.0,19.5,130,108
9,Jaylen Brown,2016-11-12,6:55,0,1,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,0,0,-1,6:55,.000,.000,1.000,.000,0.0,32.3,16.0,19.8,0.0,0.0,0.0,6.5,58,106
10,Jordan Mickey,2016-11-12,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
11,Gerald Green,2016-11-12,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
