,Starters,Date,MP_x,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP_y,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
12,Robbie Hummel,2013-10-30,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Lance Stephenson,2013-10-30,41:20,7,12,.583,2,4,.500,0,0,,2,6,8,4,0,0,2,1,16,+3,41:20,.667,.667,.333,.000,6.8,15.1,11.6,21.2,0.0,0.0,14.3,16.4,122,104
1,Paul George,2013-10-30,39:26,9,19,.474,4,11,.364,10,13,.769,0,6,6,5,2,0,2,2,32,+9,39:26,.647,.579,.579,.684,0.0,15.9,9.1,32.0,2.7,0.0,7.5,32.8,127,98
2,George Hill,2013-10-30,35:43,6,13,.462,4,7,.571,3,4,.750,0,1,1,4,1,0,3,4,19,+1,35:43,.644,.615,.538,.308,0.0,2.9,1.7,24.5,1.5,0.0,16.9,24.1,110,106
3,David West,2013-10-30,33:21,3,11,.273,0,0,,6,6,1.000,0,7,7,5,1,2,3,3,12,+3,33:21,.440,.273,.000,.545,0.0,21.9,12.6,28.0,1.6,3.9,18.0,24.1,90,95
4,Roy Hibbert,2013-10-30,21:37,2,5,.400,0,0,,2,3,.667,2,2,4,1,0,5,2,5,6,+7,21:37,.475,.400,.000,.600,13.1,9.7,11.1,8.7,0.0,15.0,24.0,18.6,89,96
5,Ian Mahinmi,2013-10-30,24:14,0,3,.000,0,0,,0,0,,1,6,7,0,1,4,1,1,0,-4,24:14,.000,.000,.000,.000,5.8,25.8,17.3,0.0,2.2,10.7,25.0,8.0,20,87
6,Luis Scola,2013-10-30,16:35,3,4,.750,0,0,,0,0,,1,1,2,0,0,1,3,2,6,+5,16:35,.750,.750,.000,.000,8.5,6.3,7.2,0.0,0.0,3.9,42.9,20.4,77,105
7,C.J. Watson,2013-10-30,15:08,0,1,.000,0,0,,2,2,1.000,0,2,2,0,0,0,0,0,2,0,15:08,.532,.000,.000,2.000,0.0,13.8,7.9,0.0,0.0,0.0,0.0,6.0,121,104
8,Orlando Johnson,2013-10-30,12:36,0,2,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,2,+1,12:36,.347,.000,.500,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,80,111
