,Team Name,Date,MP_x,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP_y,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
13,Oklahoma City Thunder,2016-11-14,240,33,88,.375,5,27,.185,17,22,.773,13,38,51,16,3,6,15,21,88,,240,.450,.403,.307,.250,23.2,90.5,52.0,48.5,3.0,7.9,13.3,100.0,87.8,103.7
13,Detroit Pistons,2016-11-14,240,43,92,.467,5,16,.313,13,16,.813,4,43,47,25,4,9,9,14,104,,240,.525,.495,.174,.174,9.5,76.8,48.0,58.1,4.0,14.8,8.3,100.0,103.7,87.8
12,Philadelphia 76ers,2016-11-14,240,34,90,.378,5,22,.227,15,17,.882,10,28,38,18,11,7,12,17,88,,240,.451,.406,.244,.189,20.4,62.2,40.4,52.9,11.4,13.7,11.0,100.0,91.0,118.9
12,Houston Rockets,2016-11-14,240,44,91,.484,17,40,.425,10,17,.588,17,39,56,20,6,10,18,19,115,,240,.584,.577,.440,.187,37.8,79.6,59.6,45.5,6.2,14.7,15.5,100.0,118.9,91.0
13,Orlando Magic,2016-11-14,240,27,84,.321,5,25,.200,10,13,.769,9,43,52,12,3,5,14,17,69,,240,.385,.351,.298,.155,17.6,86.0,51.5,44.4,3.2,7.7,13.5,100.0,73.7,94.0
13,Indiana Pacers,2016-11-14,240,35,90,.389,8,25,.320,10,10,1.000,7,42,49,22,9,9,9,14,88,,240,.466,.433,.278,.111,14.0,82.4,48.5,62.9,9.6,15.3,8.7,100.0,94.0,73.7
13,Brooklyn Nets,2016-11-14,240,34,77,.442,10,33,.303,17,22,.773,9,28,37,18,6,2,21,21,95,,240,.548,.506,.429,.286,20.9,75.7,46.3,52.9,6.1,3.1,19.5,100.0,97.1,129.8
13,Los Angeles Clippers,2016-11-14,240,48,90,.533,14,25,.560,17,21,.810,9,34,43,32,17,6,11,22,127,,240,.640,.611,.278,.233,24.3,79.1,53.8,66.7,17.4,13.6,10.0,100.0,129.8,97.1
12,Boston Celtics,2016-11-14,240,38,95,.400,12,41,.293,17,20,.850,11,33,44,19,9,0,10,27,105,,240,.506,.463,.432,.211,22.4,80.5,48.9,50.0,9.0,0.0,8.8,100.0,105.3,106.3
12,New Orleans Pelicans,2016-11-14,240,35,79,.443,6,21,.286,30,36,.833,8,38,46,16,9,4,16,17,106,,240,.559,.481,.266,.456,19.5,77.6,51.1,45.7,9.0,7.4,14.4,100.0,106.3,105.3
13,Dallas Mavericks,2016-11-14,240,32,83,.386,5,28,.179,8,11,.727,13,29,42,15,8,7,12,16,77,,240,.438,.416,.337,.133,26.0,67.4,45.2,46.9,9.3,13.2,12.0,100.0,89.5,108.1
13,New York Knicks,2016-11-14,240,34,78,.436,9,25,.360,16,18,.889,14,37,51,18,6,4,17,16,93,,240,.541,.494,.321,.231,32.6,74.0,54.8,52.9,7.0,7.3,16.5,100.0,108.1,89.5
13,Miami Heat,2016-11-14,240,37,85,.435,4,16,.250,12,21,.571,11,31,42,22,14,8,13,23,90,,240,.478,.459,.188,.247,22.4,67.4,44.2,59.5,14.9,11.9,12.1,100.0,96.0,100.2
13,San Antonio Spurs,2016-11-14,240,33,82,.402,8,15,.533,20,27,.741,15,38,53,24,4,7,17,15,94,,240,.501,.451,.183,.329,32.6,77.6,55.8,72.7,4.3,10.1,15.3,100.0,100.2,96.0
13,Memphis Grizzlies,2016-11-14,240,36,76,.474,8,21,.381,22,26,.846,14,30,44,13,4,2,16,26,102,,240,.583,.526,.276,.342,37.8,83.3,60.3,36.1,4.7,4.4,15.5,100.0,120.5,113.5
13,Utah Jazz,2016-11-14,240,35,73,.479,8,28,.286,18,22,.818,6,23,29,17,8,1,8,27,96,,240,.581,.534,.384,.301,16.7,62.2,39.7,48.6,9.5,1.8,8.8,100.0,113.5,120.5
13,Toronto Raptors,2016-11-15,240,46,96,.479,13,29,.448,12,18,.667,12,28,40,24,11,5,8,25,117,,240,.563,.547,.302,.188,25.0,73.7,46.5,52.2,11.1,10.0,7.1,100.0,118.2,122.2
13,Cleveland Cavaliers,2016-11-15,240,44,83,.530,13,33,.394,20,28,.714,10,36,46,26,4,7,17,18,121,,240,.635,.608,.398,.337,26.3,75.0,53.5,59.1,4.0,10.4,15.1,100.0,122.2,118.2
